,LAnkle_c,LAnkle_x,LAnkle_y,LEar_c,LEar_x,LEar_y,LElbow_c,LElbow_x,LElbow_y,LEye_c,LEye_x,LEye_y,LHip_c,LHip_x,LHip_y,LKnee_c,LKnee_x,LKnee_y,LShoulder_c,LShoulder_x,LShoulder_y,LWrist_c,LWrist_x,LWrist_y,Neck_c,Neck_x,Neck_y,Nose_c,Nose_x,Nose_y,RAnkle_c,RAnkle_x,RAnkle_y,REar_c,REar_x,REar_y,RElbow_c,RElbow_x,RElbow_y,REye_c,REye_x,REye_y,RHip_c,RHip_x,RHip_y,RKnee_c,RKnee_x,RKnee_y,RShoulder_c,RShoulder_x,RShoulder_y,RWrist_c,RWrist_x,RWrist_y
0,0.513236,556.863,715.587,0.993993,619.498,366.837,0.797339,641.102,474.551,0.966388,602.038,366.867,0.829633,619.517,537.274,0.885544,619.591,586.315,0.883234,635.35,413.966,0.318614,599.95,449.195,0.900487,596.06,413.917,0.855067,594.094,378.614,0.563491,543.161,699.963,0.813487,572.556,368.775,0.927832,541.156,464.828,0.96378,586.225,368.752,0.830379,556.854,529.438,0.828755,523.542,578.482,0.90126,554.862,413.832,0.931269,601.862,439.303
0,0.518105,556.875,715.584,0.991824,617.71,366.832,0.789596,641.156,472.615,0.966393,603.826,366.871,0.836649,617.636,537.294,0.860363,619.635,586.295,0.893113,635.328,415.753,0.305837,596.058,454.986,0.899583,594.158,413.918,0.850651,594.127,378.609,0.596322,541.314,698.03,0.842941,572.579,368.776,0.932006,541.152,464.827,0.967368,586.255,368.751,0.833905,555.0,529.487,0.835552,523.57,580.43,0.900702,554.863,413.84,0.936987,600.023,439.36
0,0.52773,556.872,715.584,0.969566,619.517,366.761,0.823182,641.142,474.558,0.945435,603.824,364.878,0.864234,617.685,537.296,0.831838,615.683,584.354,0.898066,635.343,413.927,0.47898,582.381,449.176,0.925757,596.045,413.885,0.860549,594.112,372.713,0.576299,545.111,697.996,0.828785,572.517,368.785,0.938016,539.247,462.968,0.947287,586.199,366.818,0.850222,556.85,529.469,0.859072,525.647,574.58,0.905278,554.854,413.824,0.899129,599.997,441.29
0,0.503884,556.844,715.586,0.988525,619.596,366.88,0.862143,637.292,476.466,0.900537,603.998,360.988,0.858271,619.513,539.186,0.884306,619.515,586.275,0.911272,635.338,415.742,0.389445,586.284,456.907,0.922708,594.091,413.919,0.92825,599.926,368.8,0.591615,541.27,699.919,0.956683,572.631,368.769,0.924046,539.261,464.883,0.941634,588.139,362.907,0.833091,556.808,531.459,0.839089,523.593,578.442,0.897088,552.918,413.874,0.918279,596.081,439.354
0,0.545243,556.909,701.894,0.854752,627.402,368.847,0.875552,637.279,476.485,0.914761,617.574,359.04,0.852971,619.527,539.186,0.898993,619.566,586.236,0.907724,635.35,415.777,0.444284,586.285,453.025,0.912374,594.097,413.895,0.964136,603.989,366.855,0.631222,541.228,698.031,0.912047,578.451,366.789,0.900374,539.265,468.762,0.878132,598.003,355.16,0.827068,556.834,531.456,0.834748,523.573,578.417,0.886802,552.932,413.819,0.886908,590.266,439.324
0,0.52034,556.886,715.583,0.243661,633.335,370.822,0.881338,635.271,486.356,0.884224,629.33,364.831,0.818686,619.507,537.323,0.876042,619.536,584.343,0.832135,639.169,417.84,0.486992,586.301,456.98,0.913509,596.111,415.846,0.98282,617.675,368.759,0.566227,541.299,699.969,0.915929,586.318,362.925,0.890554,537.313,478.466,0.889561,605.951,355.169,0.820491,555.015,533.368,0.817936,523.581,580.385,0.900942,553.008,413.859,0.812835,592.149,447.241
0,0.516049,556.856,715.587,0.0,0.0,0.0,0.896179,637.228,494.146,0.912485,625.499,368.871,0.840195,619.617,539.243,0.889379,619.537,586.307,0.808813,639.225,419.799,0.407172,598.014,472.668,0.888629,596.045,417.829,0.955934,617.637,382.438,0.557813,545.108,699.962,0.97025,584.33,366.94,0.915665,541.14,490.272,0.936088,604.022,368.766,0.833938,556.893,535.356,0.847194,523.643,582.367,0.876125,552.907,415.918,0.87612,594.14,460.808
0,0.505137,556.849,715.584,0.982377,617.635,370.774,0.940419,635.283,492.238,0.836581,598.049,376.62,0.855807,619.522,539.219,0.893073,619.524,586.351,0.875072,635.342,417.858,0.613026,572.546,468.759,0.917474,590.254,419.718,0.938736,588.15,384.538,0.598553,541.318,699.914,0.591034,570.539,368.779,0.919049,539.197,492.145,0.838579,576.534,374.664,0.858916,555.002,537.271,0.822134,523.534,580.396,0.869657,547.103,417.776,0.752401,598.028,460.957
0,0.525107,558.832,715.591,0.954284,586.256,368.772,0.880013,623.538,492.144,0.973756,556.953,366.825,0.792701,615.609,539.167,0.83109,631.265,598.044,0.840744,635.335,415.925,0.662396,572.645,456.941,0.957148,598.004,413.963,0.918185,554.843,374.682,0.61521,541.239,701.895,0.0,0.0,0.0,0.904125,537.324,480.478,0.0,0.0,0.0,0.867603,554.964,527.48,0.853032,525.64,574.586,0.961501,554.996,411.941,0.689198,586.247,445.285
0,0.572726,560.843,715.595,0.954112,588.188,366.837,0.826659,607.828,482.436,0.858869,570.596,360.952,0.777191,611.776,539.248,0.847266,633.358,599.906,0.865696,635.23,413.894,0.612508,566.689,443.266,0.90249,601.959,413.819,0.832333,564.738,368.765,0.626369,541.2,701.893,0.0,0.0,0.0,0.879032,539.211,474.559,0.0,0.0,0.0,0.791713,556.849,529.454,0.862312,525.465,574.576,0.888981,570.552,411.855,0.697509,576.523,435.424
