;LAnkle_c;LAnkle_x;LAnkle_y;LEar_c;LEar_x;LEar_y;LElbow_c;LElbow_x;LElbow_y;LEye_c;LEye_x;LEye_y;LHip_c;LHip_x;LHip_y;LKnee_c;LKnee_x;LKnee_y;LShoulder_c;LShoulder_x;LShoulder_y;LWrist_c;LWrist_x;LWrist_y;Neck_c;Neck_x;Neck_y;Nose_c;Nose_x;Nose_y;RAnkle_c;RAnkle_x;RAnkle_y;REar_c;REar_x;REar_y;RElbow_c;RElbow_x;RElbow_y;REye_c;REye_x;REye_y;RHip_c;RHip_x;RHip_y;RKnee_c;RKnee_x;RKnee_y;RShoulder_c;RShoulder_x;RShoulder_y;RWrist_c;RWrist_x;RWrist_y
0;0.313174;613.676;715.655;0.869273;607.874;382.615;0.937763;631.279;507.977;0.874313;598.001;378.608;0.76405;615.613;545.16;0.798025;633.234;590.212;0.848577;631.373;439.365;0.466032;596.087;470.719;0.936066;588.222;441.304;0.936283;586.357;384.529;0.673446;541.232;715.605;0.864333;562.804;382.606;0.858071;543.263;511.844;0.872317;576.447;378.613;0.761972;554.918;543.202;0.853379;527.534;586.237;0.84744;545.168;443.233;0.715261;598.022;468.7
1;0.469762;615.615;715.641;0.871596;609.768;384.457;0.932372;631.27;507.979;0.878064;598.026;378.603;0.784065;615.641;543.223;0.84137;633.254;588.255;0.851941;633.217;439.378;0.481666;598.021;470.703;0.941988;588.229;441.307;0.944538;586.365;384.496;0.657279;541.259;715.606;0.878175;564.708;382.605;0.865485;545.12;511.821;0.868097;576.481;378.58;0.784483;554.962;543.165;0.877765;525.638;586.32;0.853158;545.125;443.205;0.710284;598.052;468.736
2;0.522154;617.646;715.63;0.878362;609.774;384.404;0.952444;631.3;507.928;0.882474;598.022;380.49;0.739483;613.708;545.172;0.855349;635.297;586.27;0.852766;633.22;439.346;0.449178;598.032;472.657;0.939622;588.251;441.283;0.938895;588.156;384.553;0.659677;541.177;715.603;0.874982;566.648;382.597;0.84432;545.157;511.911;0.868394;576.517;380.492;0.761475;554.983;545.116;0.85563;525.47;586.282;0.85466;545.179;443.235;0.72702;598.043;466.811
3;0.37141;617.663;715.645;0.875996;607.87;384.417;0.941053;631.287;507.991;0.878082;597.99;380.491;0.749593;615.612;545.163;0.850796;635.284;588.194;0.857766;633.226;441.259;0.474818;600.012;472.679;0.943718;588.256;441.308;0.93514;586.363;384.557;0.64154;539.322;715.607;0.867964;564.72;384.426;0.847077;545.166;511.899;0.882147;576.463;380.506;0.772646;554.98;543.204;0.855003;523.657;586.212;0.8468;547.063;443.222;0.722417;598.061;468.771
4;0.48008;617.626;715.634;0.890015;609.801;382.601;0.943895;631.264;507.936;0.874003;598.019;378.574;0.755638;615.595;543.248;0.849986;635.313;588.182;0.848047;631.377;439.343;0.472977;596.053;470.716;0.948865;588.212;441.276;0.946929;586.368;384.489;0.65177;541.173;715.608;0.863847;564.749;382.548;0.856298;545.139;511.866;0.86217;576.49;378.569;0.772903;554.944;543.196;0.851991;525.464;586.277;0.85789;545.134;443.216;0.720038;599.924;468.711
5;0.454343;617.67;715.639;0.888692;609.814;384.433;0.953688;631.287;507.92;0.882833;598.034;378.632;0.752769;615.615;543.236;0.854784;635.281;588.187;0.856856;633.228;439.359;0.449957;598.05;472.637;0.938129;588.254;441.278;0.92435;588.152;384.55;0.660762;541.157;715.602;0.862121;564.743;384.418;0.85251;545.189;511.882;0.867438;576.482;378.644;0.772869;554.965;543.156;0.861101;523.663;586.231;0.855185;545.178;443.232;0.751726;599.954;466.747
6;0.507351;617.655;715.633;0.898675;609.799;384.453;0.9421;629.409;507.915;0.873435;596.104;380.574;0.756587;615.601;543.249;0.871454;635.282;586.323;0.857097;633.229;439.371;0.43368;599.936;472.64;0.937576;588.253;441.301;0.890267;586.331;386.443;0.665093;541.167;715.604;0.873544;562.804;384.405;0.860849;545.168;511.873;0.874701;576.449;380.555;0.774661;554.97;543.183;0.871642;525.478;586.276;0.845936;547.067;443.211;0.765833;599.944;466.742
7;0.522552;615.695;715.635;0.960225;603.959;382.589;0.886435;621.573;513.831;0.920793;590.218;382.481;0.741466;613.665;541.292;0.811397;633.205;584.355;0.84315;631.302;437.358;0.370548;603.848;476.558;0.927367;586.34;441.265;0.860744;586.166;390.346;0.641292;541.262;707.768;0.944628;558.84;384.545;0.879232;541.32;521.591;0.967582;572.579;382.528;0.772879;554.894;541.265;0.805245;535.304;584.294;0.856184;543.177;443.193;0.823182;598.023;470.723
8;0.537317;615.688;715.635;0.906501;600.0;378.583;0.86956;623.475;521.57;0.871693;586.162;376.685;0.748825;615.632;543.194;0.830778;631.319;586.278;0.85604;627.441;429.604;0.445536;590.218;476.498;0.912585;582.382;431.619;0.892345;572.662;384.573;0.645603;541.273;715.611;0.899354;554.819;382.441;0.966257;539.261;523.592;0.844229;566.655;380.536;0.778547;554.852;543.225;0.872671;539.301;586.34;0.871272;539.19;437.394;0.782236;588.321;474.599
9;0.396224;619.548;715.643;0.843835;600.021;337.392;0.714728;619.684;488.32;0.775604;584.322;337.464;0.749261;613.675;521.579;0.832382;635.333;602.027;0.790083;631.273;398.115;0.166874;609.801;462.931;0.883467;576.536;398.228;0.797258;572.634;351.165;0.575808;543.164;715.624;0.75131;549.04;341.399;0.861529;529.471;488.322;0.744412;562.763;337.553;0.810441;543.246;523.543;0.76085;531.437;611.777;0.888768;527.551;400.138;0.735801;590.173;455.001
